裝備名稱,裝備部位,基礎ATK/DEF,基礎穩定度,屬性分類,屬性名稱,屬性值1,屬性值2,說明,(英文)裝備名稱
,,,,,element_water,1,,,
,,,,,unsheathe_attack_multiplier,2,,,
,,,,,additional_magic,100,,,
,,,,,atk_up_int,100,,,
,,,,,atk_down_str,150,,,
,,,,obtain,type,smith,,,
,,,,recipe,item_level,80,,,
,,,,,item_difficulty,85,,,
,,,,,potential,28,,,
,,,,,cost,850,,,
,,,,,materials,"冰凍玫瑰#1,薄暮巨龍的藍翼#5,魔晶獸豪爪#3,魔素#425",,,
憎惡血怒,拔刀劍,76,70,stats,max_hp,-30%,,,Iradium
,,,,,atk,5%,,,
,,,,,physical_pierce,5,,,
,,,,,magic_resistance,30,,,
,,,,,aggro,-15,,,
,,,,,element_dark,1,,,
,,,,,unsheathe_attack_multiplier,5,,,
,,,,obtain,type,boss,,,
,,,,,name,終極馬其納,,,
,,,,,map,多洛馬廣場,,,
憎惡血怒,拔刀劍,76,70,stats,max_hp,-15%,,,Iradium
,,,,,atk,5%,,,
,,,,,physical_pierce,3,,,
,,,,,magic_resistance,30,,,
,,,,,aggro,-5,,,
,,,,,element_dark,1,,,
,,,,,unsheathe_attack_multiplier,4,,,
,,,,obtain,type,smith,,,
,,,,recipe,item_level,130,,,
,,,,,item_difficulty,135,,,
,,,,,potential,37,,,
,,,,,cost,1350,,,
,,,,,materials,"縫合血肉#3,終極生物的利爪#1,獸品#900,藥品#450",,,
憎惡血怒,拔刀劍,76,70,stats,max_hp,-30%,,,Iradium
,,,,,atk,6%,,,
,,,,,physical_pierce,1,,,
,,,,,magic_resistance,15,,,
,,,,,aggro,-45,,,
,,,,,stronger_against_neutral,25,,,
,,,,,unsheathe_attack_multiplier,6,,,
,,,,obtain,type,boss,,,
,,,,,name,終極馬其納,,,
,,,,,map,第3次馬奇史東之路．第三戰,,,
鋼牙,拔刀劍,56,70,stats,physical_pierce,8,,,Iron Fang
,,,,,element_earth,1,,,
,,,,,short_range_damage,4,,,
,,,,,guard_break,16,,,
,,,,obtain,type,smith,,,
,,,,recipe,item_level,105,,,
,,,,,item_difficulty,110,,,
,,,,,potential,32,,,
,,,,,cost,550,,,
,,,,,materials,"特製鐵羽#20,尖銳刺刀#5,金屬#200,獸品#75",,,
鋼牙,拔刀劍,56,70,stats,physical_pierce,8,,,Iron Fang
,,,,,element_earth,1,,,
,,,,,short_range_damage,4,,,
,,,,,guard_break,12,,,
,,,,obtain,type,mobs,,,
,,,,,name,僕從魔偶,,,
,,,,,map,布萊耶研究所．2號樓,,,
,,,,obtain,type,mobs,,,
,,,,,name,冰城魔鐘,,,
,,,,,map,諾耶莉爾城．入口（100-120）,,,
,,,,obtain,type,mobs,,,
,,,,,name,Ice Evil Clocl,,,
,,,,,map,諾耶莉爾城．2樓（100-120）,,,
枷鎖切,拔刀劍,64,70,stats,critical_rate,40,,,Kasakiri
,,,,,aggro,-20,,,
,,,,,element_light,1,,,
,,,,,unsheathe_attack_multiplier,4,,,
,,,,obtain,type,smith,,,
,,,,recipe,item_level,115,,,
,,,,,item_difficulty,120,,,
,,,,,potential,34,,,
,,,,,cost,600,,,
,,,,,materials,"硬質獸牙#20,鐵屑#30,金屬#150,獸品#150",,,
枷鎖切,拔刀劍,64,70,stats,critical_rate,30,,,Kasakiri
,,,,,aggro,-15,,,
,,,,,element_light,1,,,
,,,,,unsheathe_attack_multiplier,4,,,
,,,,obtain,type,mobs,,,
,,,,,name,火炮魔像,,,
,,,,,map,多洛馬廣場附近．第1區,,,
,,,,obtain,type,mobs,,,
,,,,,name,火炮魔像,,,
,,,,,map,多洛馬廣場附近．第2區,,,
,,,,obtain,type,mobs,,,
,,,,,name,火炮魔像,,,
,,,,,map,多洛馬廣場附近．第3區,,,
綺羅星,拔刀劍,17,70,stats,critical_rate,5,,,Kiraboshi
,,,,,element_light,1,,,
,,,,,attack_mp_recovery,3,,,
,,,,obtain,type,smith,,,
,,,,recipe,item_level,35,,,
,,,,,item_difficulty,40,,,
,,,,,potential,21,,,
,,,,,cost,200,,,
,,,,,materials,"清澈的水#18,閃亮亮的石頭#6,金屬#175,魔素#25",,,
綺羅星,拔刀劍,17,70,stats,critical_rate,4,,,Kiraboshi
,,,,,element_light,1,,,
,,,,,attack_mp_recovery,2,,,
,,,,obtain,type,mobs,,,
,,,,,name,石頭,,,
,,,,,map,新月鬼殿,,,
黃雅拵,拔刀劍,26,70,stats,max_mp,300,,,Koga Koshirae
,,,,,atk,2%,,,
,,,,,unsheathe_attack_multiplier,10,,,
,,,,obtain,type,smith,,,
,,,,recipe,item_level,55,,,
,,,,,item_difficulty,60,,,
,,,,,potential,24,,,
,,,,,cost,300,,,
,,,,,materials,"閃耀流星#5,星星碎片#25,金屬#100,木材#50",,,
黃雅拵,拔刀劍,26,70,stats,max_mp,250,,,Koga Koshirae
,,,,,atk,2%,,,
,,,,,unsheathe_attack_multiplier,8,,,
,,,,obtain,type,mobs,,,
,,,,,name,殭屍科隆,,,
,,,,,map,維雪蝕刻地．第1區,,,
,,,,obtain,type,mobs,,,
,,,,,name,殭屍科隆,,,
,,,,,map,維雪蝕刻地．第2區,,,
硬羅切,拔刀劍,70,70,stats,str,3%,,,Korakiri
,,,,,max_mp,100,,,
,,,,,atk,6%,,,
,,,,,critical_damage,1,,,
,,,,,element_wind,1,,,
,,,,obtain,type,mobs,,,
,,,,,name,肥鏟獸,,,
,,,,,map,塔納斯礦道．第1區,,,
,,,,obtain,type,mobs,,,
,,,,,name,肥鏟獸,,,
,,,,,map,塔納斯礦道．第2區,,,
,,,,obtain,type,mobs,,,
,,,,,name,飛龍布偶,,,
,,,,,map,約路普之家．禮物集貨處 (Lv100),,,
硬羅切,拔刀劍,70,70,stats,str,3%,,,Korakiri
,,,,,max_mp,200,,,
,,,,,atk,6%,,,
,,,,,critical_damage,1,,,
,,,,,element_wind,1,,,
,,,,obtain,type,smith,,,
,,,,recipe,item_level,125,,,
,,,,,item_difficulty,130,,,
,,,,,potential,36,,,
,,,,,cost,650,,,
,,,,,materials,"花崗岩#15,鮫狼的牙齒#25,金屬#200,獸品#125",,,
玄紅葉,拔刀劍,43,70,stats,stability,5,,,Kuro Momiji
,,,,,aspd,400,,,
,,,,,element_fire,1,,,
,,,,,unsheathe_attack_multiplier,5,,,
,,,,obtain,type,smith,,,
,,,,recipe,item_level,85,,,
,,,,,item_difficulty,90,,,
,,,,,potential,29,,,
,,,,,cost,450,,,
,,,,,materials,"灼熱草#5,邪惡刀刃#5,金屬#200,木材#25",,,
玄紅葉,拔刀劍,43,70,stats,stability,3,,,Kuro Momiji
,,,,,aspd,300,,,
,,,,,element_fire,1,,,
,,,,,unsheathe_attack_multiplier,5,,,
,,,,obtain,type,mobs,,,
,,,,,name,烈火蟻,,,
,,,,,map,灼燒地溝．上層,,,
,,,,obtain,type,mobs,,,
,,,,,name,烈火蟻,,,
,,,,,map,灼燒地溝．下層,,,
黑橡,拔刀劍,50,70,stats,aspd,1200,,,Kuro Tsurubami
,,,,,attack_mp_recovery,6,,,
,,,,,short_range_damage,3,,,
,,,,obtain,type,smith,,,
,,,,recipe,item_level,95,,,
,,,,,item_difficulty,100,,,
,,,,,potential,31,,,
,,,,,cost,500,,,
,,,,,materials,"強韌的觸手#24,無法使用的自爆裝置#3,金屬#200,藥品#50",,,
黑橡,拔刀劍,50,70,stats,aspd,1000,,,Kuro Tsurubami
,,,,,attack_mp_recovery,5,,,
,,,,,short_range_damage,3,,,
,,,,obtain,type,mobs,,,
,,,,,name,刑戮馬其納,,,
,,,,,map,小型戴米馬其納製造廠．第1區,,,
,,,,obtain,type,mobs,,,
,,,,,name,刑戮馬其納,,,
,,,,,map,小型戴米馬其納製造廠．第2區,,,
,,,,obtain,type,mobs,,,
,,,,,name,刑戮馬其納,,,
,,,,,map,小型戴米馬其納製造廠．第3區,,,
桑蜘蛛,拔刀劍,13,70,stats,max_mp,100,,,Kuwagumo
,,,,,element_dark,1,,,
,,,,obtain,type,smith,,,
,,,,recipe,item_level,25,,,
,,,,,item_difficulty,30,,,
,,,,,potential,19,,,
,,,,,cost,150,,,
,,,,,materials,"黑毛皮#25,小飛龍的單翼#15,金屬#75",,,
桑蜘蛛,拔刀劍,13,70,stats,max_mp,50,,,Kuwagumo
,,,,,element_dark,1,,,
,,,,obtain,type,mobs,,,
,,,,,name,紅魔,,,
,,,,,map,焦熱山峰．第1區,,,
,,,,obtain,type,mobs,,,
,,,,,name,紅魔,,,
,,,,,map,焦熱山峰．第2區,,,
皇女武士刀,拔刀劍,91,65,stats,atk,6%,,,Lil Empress Katana
,,,,,aspd,200,,,
,,,,,critical_rate,25,,,
,,,,,aggro,-15,,,
,,,,,element_fire,1,,,
,,,,obtain,type,boss,,,
,,,,,name,薇芮娜．寇珥連生體,,,
,,,,,map,阿爾堤玫亞宮殿．皇座之殿,,,
皇女武士刀,拔刀劍,91,65,stats,atk,6%,,,Lil Empress Katana
,,,,,aspd,600,,,
,,,,,critical_rate,20,,,
,,,,,aggro,-10,,,
,,,,,element_fire,1,,,
,,,,obtain,type,smith,,,
,,,,recipe,item_level,140,,,
,,,,,item_difficulty,145,,,
,,,,,potential,38,,,
,,,,,cost,1450,,,
,,,,,materials,"怪物皇帝的飾片#2,怪物皇帝的結晶#3,金屬#900,魔素#550",,,
風魔杖刀,拔刀劍,46,70,stats,dodge,30,,,Mafu Swordstick
,,,,,evasion_regenerate,10,,,
,,,,,element_wind,1,,,
,,,,,anticipate,20,,,
,,,,obtain,type,smith,,,
,,,,recipe,item_level,90,,,
,,,,,item_difficulty,95,,,
,,,,,potential,30,,,
,,,,,cost,950,,,
,,,,,materials,"斷裂的藏刀手杖#6,旋風寶珠#2,金屬#800,魔素#150",,,
風魔杖刀,拔刀劍,46,70,stats,dodge,40,,,Mafu Swordstick
,,,,,evasion_regenerate,20,,,
,,,,,element_wind,1,,,
,,,,,anticipate,5,,,
,,,,obtain,type,boss,,,
,,,,,name,佐魯邦,,,
,,,,,map,暗之鏡,,,
牛王之刃,拔刀劍,15,70,stats,accuracy,3,,,Minotaur's Katana
,,,,,fire_resistance,5,,,
,,,,,element_fire,1,,,
,,,,obtain,type,smith,,,
,,,,recipe,item_level,30,,,
,,,,,item_difficulty,35,,,
,,,,,potential,20,,,
,,,,,cost,350,,,
,,,,,materials,"米諾陶斯之角#1,牛王的皮#3,獸品#200,金屬#150",,,
牛王之刃,拔刀劍,17,,stats,accuracy,5,,,Minotaur's Katana
,,,,,fire_resistance,10,,,
,,,,,element_fire,1,,,
,,,,obtain,type,boss,,,
,,,,,name,米諾陶斯,,,
,,,,,map,廢棄的寺院．封印之廳,,,
拔刀劍．謙遜,拔刀劍,100,70,stats,aspd,1000,,,Modestia
,,,,,critical_rate,100,,,
,,,,,attack_mp_recovery,10,,,
,,,,obtain,type,boss,,,
,,,,,name,製作人化身,,,
,,,,,map,活動,,,
,,,,,dye,A54B2C2,,,
拔刀劍．謙遜,拔刀劍,150,70,stats,aspd,1000,,,Modestia
,,,,,critical_rate,120,,,
,,,,,attack_mp_recovery,15,,,
,,,,obtain,type,boss,,,
,,,,,name,製作人化身（2021復刻版本）,,,
,,,,,map,活動,,,
,,,,,dye,A54B2C2,,,
杖刀．骸拵,拔刀劍,56,75,stats,max_mp,500,,,Mukuro Koshirae
,,,,,critical_damage,4,,,
,,,,,element_dark,1,,,
,,,,,unsheathe_attack_multiplier,3,,,
,,,,obtain,type,smith,,,
,,,,recipe,cost,300,,,
,,,,,materials,傑克寶珠#10,,,
無銘打刀,拔刀劍,6,70,stats,critical_rate,10,,,Nameless Uchigatana
,,,,obtain,type,smith,,,
,,,,recipe,item_level,5,,,
,,,,,item_difficulty,10,,,
,,,,,potential,16,,,
,,,,,cost,50,,,
,,,,,materials,"木屑#15,金屬#25",,,
無銘打刀,拔刀劍,6,70,stats,critical_rate,5,,,Nameless Uchigatana
,,,,obtain,type,mobs,,,
,,,,,name,奇基姆,,,
,,,,,map,思朵斷崖,,,
黏液之劍,拔刀劍,24,70,stats,critical_damage,2%,,,Ooze Lamina
,,,,,element_water,1,,,
,,,,,additional_magic,25,,,
,,,,obtain,type,smith,,,
,,,,recipe,item_level,50,,,
,,,,,item_difficulty,55,,,
,,,,,potential,23,,,
,,,,,cost,550,,,
,,,,,materials,"翠綠輝石#1,液態皮#5,藥品#350,金屬#200",,,
黏液之劍,拔刀劍,24,70,stats,critical_damage,3%,,,Ooze Lamina
,,,,,element_water,1,,,
,,,,,additional_magic,50,,,
,,,,obtain,type,boss,,,
,,,,,name,黏液怪,,,
,,,,,map,盧泰斯巨穴．最深處,,,
聖冰戰刀,拔刀劍,92,75,stats,atk,6%,,,Sacred Ice Katana
,,,,,aspd,120%,,,
,,,,,stronger_against_light,-25,,,
,,,,,stronger_against_dark,10,,,
,,,,,ailment_resistance,5,,,
,,,,,element_water,1,,,
,,,,,atk_up_agi,100,,,
,,,,obtain,type,boss,,,
,,,,,name,諾耶莉爾冰雕,,,
,,,,,map,諾耶莉爾城．大廳（120-140）,,,
,,,,obtain,type,boss,,,
,,,,,name,諾耶莉爾冰雕（raid）,,,
,,,,,map,諾耶莉爾城．大廳（120-140）,,,
聖冰戰刀,拔刀劍,92,75,stats,atk,2%,,,Sacred Ice Katana
,,,,,aspd,40%,,,
,,,,,stronger_against_light,-25,,,
,,,,,stronger_against_dark,10,,,
,,,,,ailment_resistance,1,,,
,,,,,element_water,1,,,
,,,,,atk_up_agi,100,,,
,,,,obtain,type,boss,,,
,,,,,name,諾耶莉爾冰雕,,,
,,,,,map,諾耶莉爾城．大廳（80-100）,,,
,,,,obtain,type,boss,,,
,,,,,name,諾耶莉爾冰雕（raid）,,,
,,,,,map,諾耶莉爾城．大廳（80-100）,,,
聖冰戰刀,拔刀劍,92,75,stats,atk,4%,,,Sacred Ice Katana
,,,,,aspd,80%,,,
,,,,,stronger_against_light,-25,,,
,,,,,stronger_against_dark,10,,,
,,,,,ailment_resistance,3,,,
,,,,,element_water,1,,,
,,,,,atk_up_agi,100,,,
,,,,obtain,type,boss,,,
,,,,,name,諾耶莉爾冰雕,,,
,,,,,map,諾耶莉爾城．大廳（100-120）,,,
,,,,obtain,type,boss,,,
,,,,,name,諾耶莉爾冰雕（raid）,,,
,,,,,map,諾耶莉爾城．大廳（100-120）,,,
散櫻吹雪刀,拔刀劍,27,70,stats,max_mp,200,,,Sakura Katana
,,,,,physical_resistance,10,,,
,,,,,critical_damage,2,,,
,,,,,element_light,1,,,
,,,,,attack_mp_recovery,3,,,
,,,,,weapon_atk,120,,,
,,,,,unsheathe_attack_multiplier,4,,,
,,,,obtain,type,boss,,,
,,,,,name,滅基亞（Nightmare）,,,
,,,,,map,櫻雲城．天守閣頂層 ,,,
,,,,,dye,A21B22,,,
散櫻吹雪刀,拔刀劍,27,70,stats,max_mp,100,,,Sakura Katana
,,,,,physical_resistance,10,,,
,,,,,critical_damage,1,,,
,,,,,element_light,1,,,
,,,,,attack_mp_recovery,1,,,
,,,,,unsheathe_attack_multiplier,1,,,
,,,,obtain,type,smith,,,
,,,,recipe,cost,100,,,
,,,,,materials,"櫻花寶石#25,折斷的櫻樹枝#1,櫻色水晶片#1,木材#30",,,
櫻花燈戰刀,拔刀劍,88,70,stats,critical_rate,40,,,Sakura Lantern Katana
,,,,,stronger_against_earth,25,,,
,,,,,ailment_resistance,5,,,
,,,,,element_earth,1,,,
,,,,,attack_mp_recovery,10,,,
,,,,,unsheathe_attack_multiplier,3,,,
,,,,obtain,type,smith,,,
,,,,recipe,cost,2000,,,
,,,,,materials,"櫻雲輝石#25,墨色櫻樹枝#1,櫻花瓣#1,金屬#60",,,
青雲,拔刀劍,79,70,stats,accuracy,9%,,,Seiun
,,,,,critical_rate,13,,,
,,,,,element_water,1,,,
,,,,,unsheathe_attack_multiplier,5,,,
,,,,obtain,type,mobs,,,
,,,,,name,神域守護兵,,,
,,,,,map,眾神之殿．第4區,,,
,,,,obtain,type,mobs,,,
,,,,,name,神域守護兵,,,
,,,,,map,眾神之殿．特殊神域,,,
,,,,obtain,type,mobs,,,
,,,,,name,魔偶槍兵,,,
,,,,,map,約路普之家．車輛基地(Lv130),,,
青雲,拔刀劍,79,70,stats,accuracy,10%,,,Seiun
,,,,,critical_rate,15,,,
,,,,,element_water,1,,,
,,,,,unsheathe_attack_multiplier,5,,,
,,,,obtain,type,smith,,,
,,,,recipe,item_level,135,,,
,,,,,item_difficulty,140,,,
,,,,,potential,37,,,
,,,,,cost,700,,,
,,,,,materials,"冰狼的長齒#5,裂掉的光圈#20,獸品#250,木材#100",,,
白鞘,拔刀劍,4,70,obtain,type,smith,,,Shirasaya
,,,,recipe,item_level,1,,,
,,,,,item_difficulty,1,,,
,,,,,potential,15,,,
,,,,,cost,5,,,
,,,,,materials,"金屬#2,木材#1",,,
白鞘,拔刀劍,4,70,obtain,type,boss,,,Shirasaya
,,,,,name,王座寇珥連生體,,,
,,,,,map,周年慶競技場．第6會場 (EX),,,
,,,,,dye,A54,,,
守羅拵,拔刀劍,32,70,stats,guard_power,20,,,Shura Koshirae
,,,,,guard_regenerate,20,,,
,,,,,element_earth,1,,,
,,,,obtain,type,smith,,,
,,,,recipe,item_level,65,,,
,,,,,item_difficulty,70,,,
,,,,,potential,26,,,
,,,,,cost,350,,,
,,,,,materials,"強韌尾巴#15,堅固的殼#20,金屬#125,獸品#50",,,
守羅拵,拔刀劍,32,70,stats,guard_power,18,,,Shura Koshirae
,,,,,guard_regenerate,18,,,
,,,,,element_earth,1,,,
,,,,obtain,type,mobs,,,
,,,,,name,塔魯龜,,,
,,,,,map,彼岸黃泉．第1區,,,
,,,,obtain,type,mobs,,,
,,,,,name,塔魯龜,,,
,,,,,map,彼岸黃泉．第2區,,,
,,,,obtain,type,mobs,,,
,,,,,name,塔魯龜,,,
,,,,,map,彼岸黃泉．第3區,,,
堇連棘,拔刀劍,37,65,stats,critical_rate,10,,,Sumire Renkyoku
,,,,,critical_damage,10,,,
,,,,,guard_break,10,,,
,,,,obtain,type,smith,,,
,,,,recipe,item_level,75,,,
,,,,,item_difficulty,80,,,
,,,,,potential,28,,,
,,,,,cost,400,,,
,,,,,materials,"破損的結晶石#6,奇異面具#4,獸品#150,金屬#50",,,
,,,,obtain,type,quest,,,
,,,,,name,被侵蝕者,,,
,,,,,npc,研究者幽靈,,,
,,,,,map,起始庭院,,,
堇連棘,拔刀劍,37,70,stats,critical_rate,5,,,Sumire Renkyoku
,,,,,critical_damage,10,,,
,,,,,guard_break,15,,,
,,,,obtain,type,mobs,,,
,,,,,name,飛兔劊子手,,,
,,,,,map,戰士搖籃．入口,,,
,,,,obtain,type,mobs,,,
,,,,,name,飛兔劊子手,,,
,,,,,map,戰士搖籃．內部,,,
立鍔,拔刀劍,22,70,stats,unsheathe_attack_multiplier,20,,,Tatetsuba
,,,,obtain,type,smith,,,
,,,,recipe,item_level,45,,,
,,,,,item_difficulty,50,,,
,,,,,potential,23,,,
,,,,,cost,250,,,
,,,,,materials,"粗鬃毛#20,碎裂的肋骨#20,金屬#75,布料#50",,,
立鍔,拔刀劍,22,70,stats,unsheathe_attack_multiplier,15,,,Tatetsuba
,,,,obtain,type,mobs,,,
,,,,,name,機骨龍,,,
,,,,,map,上古女帝陵墓．第1區,,,
,,,,obtain,type,mobs,,,
,,,,,name,機骨龍,,,
,,,,,map,上古女帝陵墓．第2區,,,
周年慶禮服,身體裝備,150,,stats,max_hp,1500,,,Anniversary Festive Garb
,,,,,max_mp,500,,,
,,,,,physical_resistance,10%,,,
,,,,,magic_resistance,10,,,
,,,,obtain,type,smith,,,
,,,,recipe,cost,100,,,
,,,,,materials,"周年慶絲綢#1,布料#200,金屬#20,魔素#2",,,
,,,,,potential,38,,,
,,,,,item_level,95,,,
,,,,,item_difficulty,170,,,
4周年寶劍,單手劍,29,80,stats,atk,1%,,,4th Anniv Sword
,,,,,str,1%,,,
,,,,,attack_mp_recovery,2,,,
,,,,,magic_resistance,6,,,
,,,,obtain,type,smith,,,
,,,,recipe,item_level,1,,,
,,,,,item_difficulty,25,,,
,,,,,potential,19,,,
,,,,,materials,4周年銅牌#5,,,
,,,,,cost,1,,,
4周年寶劍 II,單手劍,55,80,stats,atk,2%,,,4th Anniv Sword II
,,,,,str,2%,,,
,,,,,attack_mp_recovery,4,,,
,,,,,magic_resistance,9,,,
,,,,obtain,type,smith,,,
,,,,recipe,item_level,25,,,
,,,,,item_difficulty,50,,,
,,,,,cost,10,,,
,,,,,potential,23,,,
,,,,,materials,4周年銅牌#10,,,
4周年寶劍 III,單手劍,87,80,stats,atk,3%,,,4th Anniv Sword III
,,,,,str,3%,,,
,,,,,attack_mp_recovery,6,,,
,,,,,magic_resistance,12,,,
,,,,obtain,type,smith,,,
,,,,recipe,item_level,50,,,
,,,,,item_difficulty,75,,,
,,,,,cost,100,,,
,,,,,potential,27,,,
,,,,,materials,4周年銅牌#20,,,
4周年寶劍 IV,單手劍,117,80,stats,atk,4%,,,4th Anniv Sword IV
,,,,,str,4%,,,
,,,,,attack_mp_recovery,8,,,
,,,,,magic_resistance,15,,,
,,,,obtain,type,smith,,,
,,,,recipe,item_level,75,,,
,,,,,item_difficulty,100,,,
,,,,,cost,200,,,
,,,,,potential,30,,,
,,,,,materials,4周年銀牌#20,,,
4周年寶劍 V,單手劍,142,80,stats,atk,5%,,,4th Anniv Sword V
,,,,,str,5%,,,
,,,,,attack_mp_recovery,10,,,
,,,,,magic_resistance,18,,,
,,,,obtain,type,smith,,,
,,,,recipe,item_level,95,,,
,,,,,item_difficulty,125,,,
,,,,,cost,300,,,
,,,,,potential,32,,,
,,,,,materials,4周年金牌#20,,,
4周年寶劍 VI,單手劍,179,80,stats,atk,6%,,,4th Anniv Sword VI
,,,,,str,6%,,,
,,,,,attack_mp_recovery,10,,,
,,,,,magic_resistance,21,,,
,,,,,max_hp,4%,,,
,,,,obtain,type,smith,,,
,,,,recipe,item_level,110,,,
,,,,,item_difficulty,140,,,
,,,,,cost,400,,,
,,,,,potential,36,,,
,,,,,materials,4周年獎牌•波姆#20,,,
4周年寶劍 VII,單手劍,209,80,stats,atk,6%,,,4th Anniv Sword VII
,,,,,str,6%,,,
,,,,,attack_mp_recovery,10,,,
,,,,,magic_resistance,24,,,
,,,,,max_hp,8%,,,
,,,,obtain,type,smith,,,
,,,,recipe,item_level,130,,,
,,,,,item_difficulty,155,,,
,,,,,cost,500,,,
,,,,,potential,38,,,
,,,,,materials,4周年銅牌•波姆#20,,,
4周年寶劍 VIII,單手劍,242,80,stats,atk,6%,,,4th Anniv Sword VIII
,,,,,str,6%,,,
,,,,,attack_mp_recovery,10,,,
,,,,,magic_resistance,27,,,
,,,,,max_hp,12%,,,
,,,,obtain,type,smith,,,
,,,,recipe,item_level,145,,,
,,,,,item_difficulty,170,,,
,,,,,cost,600,,,
,,,,,potential,41,,,
,,,,,materials,4周年銀牌•波姆#20,,,
4周年寶劍 IX,單手劍,277,80,stats,atk,7%,,,4th Anniv Sword IX
,,,,,str,7%,,,
,,,,,attack_mp_recovery,10,,,
,,,,,magic_resistance,30,,,
,,,,,max_hp,16%,,,
,,,,obtain,type,smith,,,
,,,,recipe,item_level,160,,,
,,,,,item_difficulty,185,,,
,,,,,cost,700,,,
,,,,,potential,43,,,
,,,,,materials,4周年金牌•波姆#20,,,
4周年巨劍,雙手劍,43,70,stats,short_range_damage,1,,,4th Anniv Greatsword
,,,,,str,1%,,,
,,,,,critical_rate,3,,,
,,,,,guard_regenerate,2%,,,
,,,,obtain,type,smith,,,
,,,,recipe,item_level,1,,,
,,,,,item_difficulty,25,,,
,,,,,cost,10,,,
,,,,,potential,19,,,
,,,,,materials,4周年銅牌#5,,,
4周年巨劍 II,雙手劍,82,70,stats,short_range_damage,2,,,4th Anniv Greatsword II
,,,,,str,2%,,,
,,,,,critical_rate,6,,,
,,,,,guard_regenerate,4%,,,
,,,,obtain,type,smith,,,
,,,,recipe,item_level,25,,,
,,,,,item_difficulty,50,,,
,,,,,cost,10,,,
,,,,,potential,23,,,
,,,,,materials,4周年銅牌#10,,,
 4周年巨劍 III,雙手劍,130,70,stats,short_range_damage,3,,,4th Anniv Greatsword III
,,,,,str,3%,,,
,,,,,critical_rate,9,,,
,,,,,guard_regenerate,6%,,,
,,,,obtain,type,smith,,,
,,,,recipe,item_level,50,,,
,,,,,item_difficulty,75,,,
,,,,,cost,100,,,
,,,,,potential,27,,,
,,,,,materials,4周年銅牌#20,,,
 4周年巨劍 IV,雙手劍,175,70,stats,short_range_damage,4,,,4th Anniv Greatsword IV
,,,,,str,4%,,,
,,,,,critical_rate,12,,,
,,,,,guard_regenerate,8%,,,
,,,,obtain,type,smith,,,
,,,,recipe,item_level,75,,,
,,,,,item_difficulty,100,,,
,,,,,cost,200,,,
,,,,,potential,30,,,
,,,,,materials,4周年銀牌#20,,,
 4周年巨劍 V,雙手劍,213,70,stats,short_range_damage,5,,,4th Anniv Greatsword V
,,,,,str,5%,,,
,,,,,critical_rate,15,,,
,,,,,guard_regenerate,10%,,,
,,,,obtain,type,smith,,,
,,,,recipe,item_level,95,,,
,,,,,item_difficulty,125,,,
,,,,,cost,300,,,
,,,,,potential,400,,,
,,,,,materials,4周年金牌#20,,,
4周年巨劍 VI,雙手劍,268,70,stats,short_range_damage,6,,,4th Anniv Greatsword VI
,,,,,str,6%,,,
,,,,,critical_rate,15,,,
,,,,,guard_break,3%,,,
,,,,,guard_regenerate,12%,,,
,,,,obtain,type,smith,,,
,,,,recipe,item_level,110,,,
,,,,,item_difficulty,140,,,
,,,,,cost,400,,,
,,,,,potential,36,,,
,,,,,materials,4周年獎牌•波姆#20,,,
4周年巨劍 VII,雙手劍,313,70,stats,short_range_damage,6,,,4th Anniv Greatsword VII
,,,,,str,6%,,,
,,,,,critical_rate,15,,,
,,,,,guard_break,6%,,,
,,,,,guard_regenerate,14%,,,
,,,,obtain,type,smith,,,
,,,,recipe,item_level,130,,,
,,,,,item_difficulty,155,,,
,,,,,cost,500,,,
,,,,,potential,38,,,
,,,,,materials,4周年銅牌•波姆#20,,,
4周年巨劍 VIII,雙手劍,363,70,stats,short_range_damage,6,,,4th Anniv Greatsword VIII
,,,,,str,6%,,,
,,,,,critical_rate,15,,,
,,,,,guard_break,9%,,,
,,,,,guard_regenerate,16%,,,
,,,,obtain,type,smith,,,
,,,,recipe,item_level,145,,,
,,,,,item_difficulty,170,,,
,,,,,cost,600,,,
,,,,,potential,41,,,
,,,,,materials,4周年銀牌•波姆#20,,,
4周年巨劍 IX,雙手劍,415,70,stats,short_range_damage,7,,,4th Anniv Greatsword IX
,,,,,str,7%,,,
,,,,,critical_rate,15,,,
,,,,,guard_break,12%,,,
,,,,,guard_regenerate,18%,,,
,,,,obtain,type,smith,,,
,,,,recipe,item_level,160,,,
,,,,,item_difficulty,185,,,
,,,,,cost,700,,,
,,,,,potential,43,,,
,,,,,materials,4周年金牌•波姆#20,,,
4周年獵弓,弓,17,60,stats,long_range_damage,1,,,4th Anniv Bow
,,,,,dex,1%,,,
,,,,,critical_damage,2,,,
,,,,,accuracy,3%,,,
,,,,obtain,type,smith,,,
,,,,recipe,item_level,1,,,
,,,,,item_difficulty,25,,,
,,,,,cost,1,,,
,,,,,potential,19,,,
,,,,,materials,4周年銅牌#5,,,
4周年獵弓 II,弓,33,60,stats,long_range_damage,2,,,4th Anniv Bow II
,,,,,dex,2%,,,
,,,,,critical_damage,4,,,
,,,,,accuracy,6%,,,
,,,,obtain,type,smith,,,
,,,,recipe,item_level,25,,,
,,,,,item_difficulty,50,,,
,,,,,cost,10,,,
,,,,,potential,23,,,
,,,,,materials,4周年銅牌#10,,,
